RDG3_DEEPSO,CE_CMAES,HFEABC,DE_TLBO,PSO_GBP,GASAPSO,AJSO,CUMDANCauchy,EHL_PS_VNSO,Ensembled_method_of_CBBO_Cauchy_and_DEEPSO,DEEDA
284.3407431,188.4728426,489.0791905,72.92800994,119.1795418,49.46719948,77.17060912,44.16627254,105.7127642,201.6278216,44.74715962
272.2218044,188.6669832,465.2775137,75.03602949,114.8751151,48.41352111,77.23444316,44.68934214,105.4919618,220.3770199,44.95734784
275.8013107,190.1702347,607.3126512,73.22094511,113.8397362,49.93593916,78.00266588,47.48255201,104.1635568,238.9937601,45.40064482
231.671968,188.1078226,633.2747266,71.30350631,114.7176321,50.41766071,76.32314703,44.50512158,105.3458373,244.720404,46.34478594
209.3861594,188.0878206,482.4601227,71.91990379,114.4397307,49.93417608,75.76318228,43.1812223,104.6407526,181.8389717,45.04539869
211.7264489,188.882731,622.979323,73.48847619,113.5652222,48.82088929,75.4781514,43.02559716,104.8510078,159.616484,44.64258705
209.8703308,187.6335756,481.3648221,73.55036044,115.5886403,49.0989226,76.02139598,43.28433679,105.2866874,159.5935376,44.84540719
210.8452772,187.5476388,469.8991012,73.41697982,115.4540382,49.38787459,76.41476314,42.7389865,103.776017,171.4075368,45.42862925
210.4815563,189.1321938,371.9284254,73.61518184,123.9220726,49.02939655,74.73866243,42.2716394,105.1687458,165.9796007,45.27155288
210.8420673,188.6425269,397.7797368,73.40534359,113.0720516,49.01446488,74.58168382,42.21858082,105.1598522,174.0718625,44.21759932
211.9697764,191.3508299,370.4495506,74.20653938,115.4774842,48.79898497,75.85902988,41.67273488,105.6275762,164.1799954,44.55775882
210.3440938,192.4135519,371.0583307,74.12438876,114.2014598,48.53498396,76.91635954,42.75276657,103.8765947,167.1518223,44.27736757
208.2362219,189.7101956,398.9816888,73.6364957,111.8397968,48.69484596,74.92790827,44.20035565,106.038143,166.3082672,44.59320322
206.8192631,188.7426437,365.4438083,74.38273981,115.4269361,47.96147962,76.57684671,44.55925404,106.3512664,161.2643309,46.23987903
207.1424927,190.1287508,414.6856865,73.47579053,109.4879898,48.08762999,75.50594764,42.95033609,102.827291,159.1182436,44.93122621
213.7536601,190.003993,367.4082544,72.9987003,112.5495442,48.50401837,76.12708251,42.45027304,103.0001549,163.789825,44.45530762
209.5038673,189.1519083,362.5381763,73.33864278,112.0051514,48.48949142,76.27930613,42.4938583,100.9135074,162.3538311,44.17977009
209.5276315,190.7995505,366.4651021,73.57352682,114.3391726,48.84787512,76.97077648,42.81463664,97.20745,163.1048947,44.38412261
209.0123626,190.403928,370.9457062,72.83408282,111.2695185,47.66314865,75.97028817,45.04371822,97.70547674,161.4056701,45.31673161
209.2337383,189.9740582,459.3694871,73.18358122,117.6988839,48.96322119,77.64745397,42.91055902,98.23894641,168.4318333,45.50671652